信源ID,信源名称,层级,标题,记录URL,日期,发文号,数据来源
js-zjw,江苏省住房和城乡建设厅,省级,《关于进一步支持城市更新行动的若干政策措施》新闻发布会,https://www.jiangsu.gov.cn/art/2026/5/21/art_46548_339.html,2026-05-21,,自动
ln-zjw,辽宁省住房和城乡建设厅,省级,建设城市更新先导区专栏,http://zjt.ln.gov.cn/zjt/ztzl10/jscsgxxdqzl/index.shtml,,,自动
ln-zjw,辽宁省住房和城乡建设厅,省级,大连市高质量推进城市更新行动专题培训班开班,http://zjt.ln.gov.cn/zjt/jsyw/2026042316281188095/index.shtml,2026-04-23,,自动
ln-zjw,辽宁省住房和城乡建设厅,省级,人民日报头版：辽宁因地制宜高质量推进城市更新,http://zjt.ln.gov.cn/zjt/jsyw/2026032616110526349/index.shtml,2026-03-23,,自动
mohurd,住房城乡建设部,国家,国务院政策例行吹风会：《城市更新“十五五”规划》有关情况,https://www.mohurd.gov.cn/xinwen/jsyw/art/2026/art_41a4475aa5b0477aa829bb8144104792.html,,,自动
mohurd,住房城乡建设部,国家,“践行人民城市理念　高质量推进城市更新工作”座谈会在上海召开,https://www.mohurd.gov.cn/xinwen/jsyw/art/2026/art_b48c06eb8b2047df816646e17cbd3580.html,2026-07-23,,自动
mohurd,住房城乡建设部,国家,打造高品质生活空间——扎实推进城市更新（上）,https://www.mohurd.gov.cn/xinwen/gzdt/art/2026/art_b304290b638a48dfad929a4892c062ee.html,2026-08-11,,自动
nx-zjw,宁夏回族自治区住房和城乡建设厅,省级,宁报视点丨老旧小区怎样改，才能改到群众心坎上？,https://www.nxrb.cn/nxrb/template/displayTemplate/news/newsDetail/50125/8116326.html?isShare=true,,,自动
sc-zjw,四川省住房和城乡建设厅,省级,涵盖1753个项目！四川发布“十五五”时期首批城市更新...,http://jst.sc.gov.cn/scjst/ct101448/2026/7/29/9de975b10b684c8a8594bf7a6a57420d.shtml,2026-07-29,,自动
sh-ghzyj,市规划资源局,市级,上海城市更新,https://csgx.zjw.sh.gov.cn:10811/,,,自动
shx-zjw,陕西省住房和城乡建设厅,省级,“践行人民城市理念 高质量推进城市更新工作”座谈会在上海召开,http://js.shaanxi.gov.cn/sy/zjzx/zjyw/202607/t20260730_3661719.html,2026-07-30,,自动
suz-zjw,苏州市住房和城乡建设局,市级,市住建局牵头的城中村改造、城镇老...,http://zfcjj.suzhou.gov.cn/szszjj/zxft/202512/9d1f951078154b85b60a87b76eb8783d.shtml,2025-12,,自动
sx-zjw,山西省住房和城乡建设厅,省级,因地制宜、先保基本，扎实推进城市更新行动,http://zjt.shanxi.gov.cn/jsdt/202607/t20260707_10172201.shtml,2026-07-07,,自动
sy-zjw,沈阳市城乡建设局,市级,专家解读·城市更新｜边兰春：有序推进完整社区建设，营造高品质城市生...,https://jw.shenyang.gov.cn/xwzx/202606/t20260622_5044463.html,2026-06-22,,自动
sz-zjj,深圳市住房和建设局,市级,深圳市住房和建设局关于《2026年度老旧小区无障碍通行有关工作跟踪评价及技术指导服务》的采购公告,https://zjj.sz.gov.cn/xxgk/tzgg/content/post_12930374.html,,,自动
ts-zjw,唐山市住房和城乡建设局,市级,我省组织召开城市更新政银企座谈对接会,https://zhujianju.tangshan.gov.cn/tszjj/gzdt/20260723/1651806.html,2026-07-23,,自动
ts-zjw,唐山市住房和城乡建设局,市级,国务院印发《城市更新“十五五”规划》,https://zhujianju.tangshan.gov.cn/tszjj/gzdt/20260603/1649885.html,2026-06-03,,自动
ts-zjw,唐山市住房和城乡建设局,市级,五年实践，唐山城市更新成为全国样本,https://zhujianju.tangshan.gov.cn/tszjj/gzdt/20260506/1648637.html,2026-05-06,,自动
ts-zjw,唐山市住房和城乡建设局,市级,唐山市人民政府关于印发《唐山市城市更新实施办法》的通知,https://zhujianju.tangshan.gov.cn/tszjj/ts_zhujianjuzcwjpc/20251120/1641104.html,2025-11-20,,自动
ts-zjw,唐山市住房和城乡建设局,市级,唐山市召开城镇老旧小区改造工程成果新闻发布会,https://zhujianju.tangshan.gov.cn/tszjj/zjjzhengwufangtan/20250113/1624113.html,2025-01-13,,自动
ts-zjw,唐山市住房和城乡建设局,市级,唐山市召开棚户区改造工程成果新闻发布会,https://zhujianju.tangshan.gov.cn/tszjj/zjjzhengwufangtan/20250113/1624112.html,2025-01-13,,自动
wf-zjw,潍坊市住房和城乡建设局,市级,一图读懂丨城市更新“十五五”规划,https://mp.weixin.qq.com/s/-asRv5WL79RHREVbAVI8Mg,2026-06-05,,自动
wf-zjw,潍坊市住房和城乡建设局,市级,省住建厅来我市调研城镇老旧小区改造及非...,https://jsj.weifang.gov.cn/55341/1306539552.html,2025-08-12,,自动
xa-zjw,西安市住房和城乡建设局,市级,市住建局现场调研城市更新片区建设和闲置资产盘活工作,https://zjj.xa.gov.cn/zw/zfxxgkml/zwxx/gzdt/2086287923612254209.html,2026-08-09,,自动
xa-zjw,西安市住房和城乡建设局,市级,张小波调研城市更新和闲置资产盘活工作并组织召开推进会,https://zjj.xa.gov.cn/zw/zfxxgkml/zwxx/gzdt/2076167310420250625.html,2026-07-12,,自动
xa-zjw,西安市住房和城乡建设局,市级,【物业管理】老旧小区电梯加装的所需资料及办理流程,https://zjj.xa.gov.cn/hd/zcwdk/12345smrxdy/2044609656631418881.html,2026-03-25,,自动
xa-zjw,西安市住房和城乡建设局,市级,西安市住房和城乡建设局西安市自然资源和规划局西安市市场监督管理局西安市财政局西安市城中村（棚户区）改造事务中心关于规范回迁安置房交易管理的通告,https://zjj.xa.gov.cn/zw/zfxxgkml/zwxx/zxtz/2085602483441360898.html,2026-08-07,,自动
xa-zjw,西安市住房和城乡建设局,市级,西安市住房和城乡建设局西安市自然资源和规划局西安市市场监督管理局西安市财政局西安市城中村（棚户区）改造事务中心关于规范回迁安置房交易管理的通告,https://zjj.xa.gov.cn/zw/zfxxgkml/fgwj/bmwj/2085602483441360898.html,,,自动
xa-zjw,西安市住房和城乡建设局,市级,西安市住房和城乡建设局西安市发展和改革委员会西安市市场监督管理局关于印发《西安市超长期特别国债资金支持老旧小区加装电梯工作指引》的通知,https://zjj.xa.gov.cn/zw/zfxxgkml/fgwj/bmwj/2070323142189416449.html,,,自动
xj-zjw,新疆维吾尔自治区住房和城乡建设厅,省级,新疆出台23项重点措施支持实施城市更新行动,https://tnews.xjmty.com/app/slyapp/sh/202605/t20260515_34463510.html?cid=34463510&sid=149&ctype=article&uid=ONAMPSWbId,2026-05-15,,自动
yn-zjw,云南省住房和城乡建设厅,省级,四部门解读《城市更新“十五五”规划》,https://zfcxjst.yn.gov.cn/yaowenbobao/492390.html,,,自动
zj-zjw,浙江省住房和城乡建设厅,省级,2026年全省城市更新工作培训班在杭州举行,http://jst.zj.gov.cn/col/col1569971/art/2026/art_80c66a837fa1435c80769752cc908447.html,,,自动
zj-zjw,浙江省住房和城乡建设厅,省级,省建设厅 省自然资源厅《关于进一步支持城市更新行动若干措施的...,http://jst.zj.gov.cn/api-gateway/jpaas-jsurvey-web-server/front/dczj/showJsurveys.do?formId=a8bec77fb1724c238f9528cd8be1b803,2026-07-16,,自动
